Order ID,Order Value,Delivery Fee,Cuisine,Meal Type,City,Time Taken for Delivery
ORD100000,543.27,45,Chinese,Breakfast,Delhi,19
ORD100001,1148.25,20,Fast Food,Dinner,Chennai,45
ORD100002,918.59,0,Indian,Dinner,Hyderabad,17
ORD100003,778.59,30,Indian,Dinner,Mumbai,52
ORD100004,313.82,20,Fast Food,Lunch,Chennai,58
ORD100005,313.79,30,Fast Food,Lunch,Chennai,58
ORD100006,210.99,0,Fast Food,Evening Snack,Bangalore,36
ORD100007,1059.48,30,Fast Food,Breakfast,Delhi,58
ORD100008,781.17,20,Indian,Dinner,Chennai,46
ORD100009,893.48,20,Fast Food,Lunch,Delhi,16
ORD100010,171.61,60,Continental,Lunch,Hyderabad,20
ORD100011,1168.41,20,Indian,Breakfast,Delhi,27
ORD100012,1024.06,30,Chinese,Lunch,Delhi,52
ORD100013,372.96,30,Fast Food,Lunch,Chennai,31
ORD100014,340.92,0,Fast Food,Lunch,Delhi,38
ORD100015,342.57,30,Italian,Lunch,Mumbai,55
ORD100016,469.45,20,Continental,Lunch,Chennai,64
ORD100017,700.99,30,Continental,Dinner,Chennai,52
ORD100018,603.54,30,Italian,Breakfast,Mumbai,61
ORD100019,455.79,20,Continental,Lunch,Hyderabad,28
ORD100020,792.45,20,Italian,Breakfast,Mumbai,38
ORD100021,296.47,30,Continental,Dinner,Delhi,29
ORD100022,456.75,30,Italian,Dinner,Chennai,20
ORD100023,534.68,30,Italian,Evening Snack,Hyderabad,54
ORD100024,628.87,0,Chinese,Evening Snack,Chennai,52
ORD100025,974.43,30,Italian,Breakfast,Mumbai,21
ORD100026,359.66,20,Fast Food,Lunch,Hyderabad,22
ORD100027,689.95,30,Fast Food,Evening Snack,Chennai,40
ORD100028,772.04,0,Italian,Dinner,Hyderabad,26
ORD100029,198.77,20,Mexican,Breakfast,Hyderabad,60
ORD100030,787.92,30,Continental,Breakfast,Chennai,31
ORD100031,329.05,20,Fast Food,Lunch,Chennai,32
ORD100032,218.3,45,Continental,Lunch,Delhi,57
ORD100033,1146.33,30,Indian,Evening Snack,Mumbai,61
ORD100034,1163.91,45,Italian,Dinner,Mumbai,48
ORD100035,998.82,20,Italian,Evening Snack,Bangalore,60
ORD100036,469.84,0,Continental,Dinner,Bangalore,18
ORD100037,252.56,30,Fast Food,Evening Snack,Bangalore,22
ORD100038,868.44,20,Indian,Lunch,Mumbai,43
ORD100039,612.16,20,Chinese,Dinner,Bangalore,19
ORD100040,278.14,30,Italian,Breakfast,Delhi,50
ORD100041,669.94,30,Mexican,Evening Snack,Mumbai,21
ORD100042,186.11,0,Continental,Dinner,Hyderabad,44
ORD100043,1104.79,30,Indian,Lunch,Delhi,50
ORD100044,421.72,20,Italian,Breakfast,Chennai,22
ORD100045,845.65,30,Fast Food,Breakfast,Bangalore,42
ORD100046,477.3,20,Indian,Dinner,Chennai,61
ORD100047,696.07,20,Mexican,Lunch,Chennai,22
ORD100048,724.05,30,Indian,Lunch,Bangalore,17
ORD100049,344.1,30,Continental,Lunch,Chennai,32
ORD100050,1168.06,20,Chinese,Lunch,Mumbai,27
ORD100051,963.89,30,Chinese,Dinner,Hyderabad,63
ORD100052,1136.47,20,Chinese,Lunch,Hyderabad,41
ORD100053,1089.57,45,Fast Food,Breakfast,Bangalore,32
ORD100054,777.79,30,Fast Food,Lunch,Delhi,60
ORD100055,1117.97,30,Indian,Lunch,Chennai,19
ORD100056,242.92,20,Fast Food,Lunch,Delhi,50
ORD100057,355.78,20,Italian,Lunch,Mumbai,37
ORD100058,197.49,20,Italian,Dinner,Chennai,35
ORD100059,491.6,20,Italian,Dinner,Hyderabad,61
ORD100060,558.11,20,Mexican,Dinner,Delhi,41
ORD100061,434.92,20,Italian,Dinner,Chennai,38
ORD100062,1020.17,30,Continental,Evening Snack,Hyderabad,56
ORD100063,524.59,0,Indian,Dinner,Bangalore,55
ORD100064,444.98,45,Continental,Dinner,Mumbai,35
ORD100065,719.83,0,Chinese,Lunch,Bangalore,52
ORD100066,297.97,60,Continental,Dinner,Mumbai,21
ORD100067,992.31,60,Continental,Evening Snack,Chennai,40
ORD100068,228.28,20,Continental,Dinner,Hyderabad,48
ORD100069,1186.23,60,Mexican,Evening Snack,Mumbai,59
ORD100070,960.86,45,Indian,Dinner,Mumbai,42
ORD100071,358.65,0,Fast Food,Evening Snack,Chennai,15
ORD100072,155.8,60,Italian,Lunch,Mumbai,37
ORD100073,1006.23,0,Continental,Evening Snack,Delhi,62
ORD100074,892.2,0,Fast Food,Dinner,Delhi,56
ORD100075,915.46,30,Chinese,Evening Snack,Hyderabad,23
ORD100076,959.83,0,Fast Food,Dinner,Chennai,42
ORD100077,227.75,0,Indian,Evening Snack,Bangalore,33
ORD100078,526.39,60,Indian,Lunch,Chennai,27
ORD100079,271.66,60,Continental,Lunch,Bangalore,18
ORD100080,1056.26,30,Fast Food,Dinner,Bangalore,57
ORD100081,804.46,30,Indian,Dinner,Chennai,63
ORD100082,497.44,60,Indian,Dinner,Mumbai,40
ORD100083,216.74,0,Fast Food,Dinner,Chennai,34
ORD100084,476.53,60,Indian,Lunch,Delhi,64
ORD100085,491.44,20,Indian,Evening Snack,Bangalore,43
ORD100086,916.09,45,Chinese,Breakfast,Mumbai,54
ORD100087,819.44,30,Chinese,Breakfast,Delhi,55
ORD100088,1081.57,60,Chinese,Lunch,Delhi,45
ORD100089,645.83,45,Italian,Evening Snack,Bangalore,26
ORD100090,275.57,45,Chinese,Dinner,Delhi,48
ORD100091,898.91,30,Italian,Lunch,Hyderabad,48
ORD100092,948.82,45,Continental,Dinner,Delhi,61
ORD100093,739.34,30,Indian,Dinner,Hyderabad,38
ORD100094,959.52,0,Chinese,Lunch,Mumbai,24
ORD100095,668.49,30,Continental,Dinner,Chennai,16
ORD100096,698.87,0,Indian,Lunch,Hyderabad,43
ORD100097,598.92,45,Continental,Evening Snack,Chennai,39
ORD100098,176.69,0,Fast Food,Lunch,Hyderabad,31
ORD100099,263.29,60,Mexican,Dinner,Chennai,61
ORD100100,183.0,20,Indian,Breakfast,Chennai,32
ORD100101,818.23,0,Indian,Evening Snack,Delhi,16
ORD100102,480.07,60,Italian,Dinner,Delhi,45
ORD100103,684.0,0,Fast Food,Lunch,Mumbai,64
ORD100104,1102.94,20,Fast Food,Dinner,Delhi,20
ORD100105,411.76,30,Indian,Lunch,Hyderabad,39
ORD100106,580.9,20,Continental,Evening Snack,Chennai,57
ORD100107,943.33,30,Mexican,Lunch,Hyderabad,55
ORD100108,390.24,30,Mexican,Dinner,Bangalore,19
ORD100109,230.83,60,Chinese,Breakfast,Delhi,31
ORD100110,454.24,0,Chinese,Dinner,Chennai,29
ORD100111,319.28,0,Continental,Dinner,Chennai,23
ORD100112,1126.18,30,Chinese,Dinner,Bangalore,28
ORD100113,998.53,20,Mexican,Lunch,Mumbai,33
ORD100114,815.07,20,Mexican,Dinner,Mumbai,51
ORD100115,1065.03,20,Italian,Lunch,Bangalore,63
ORD100116,993.86,30,Indian,Lunch,Chennai,26
ORD100117,345.9,45,Indian,Breakfast,Delhi,56
ORD100118,1087.19,0,Chinese,Dinner,Delhi,16
ORD100119,716.31,20,Continental,Dinner,Chennai,39
ORD100120,997.81,30,Indian,Breakfast,Mumbai,16
ORD100121,1090.9,0,Fast Food,Lunch,Mumbai,51
ORD100122,483.9,30,Indian,Lunch,Delhi,27
ORD100123,265.55,20,Mexican,Lunch,Mumbai,42
ORD100124,389.33,20,Chinese,Evening Snack,Bangalore,31
ORD100125,598.46,20,Continental,Lunch,Mumbai,28
ORD100126,1008.92,20,Italian,Dinner,Mumbai,47
ORD100127,1053.77,45,Continental,Dinner,Chennai,53
ORD100128,157.3,60,Chinese,Lunch,Chennai,26
ORD100129,686.28,30,Continental,Evening Snack,Chennai,29
ORD100130,588.28,30,Fast Food,Lunch,Mumbai,28
ORD100131,383.21,0,Indian,Dinner,Hyderabad,50
ORD100132,275.86,30,Fast Food,Evening Snack,Hyderabad,56
ORD100133,504.5,30,Continental,Dinner,Chennai,33
ORD100134,1140.06,0,Chinese,Breakfast,Bangalore,38
ORD100135,489.36,0,Continental,Lunch,Hyderabad,15
ORD100136,694.73,20,Chinese,Evening Snack,Delhi,56
ORD100137,888.17,0,Indian,Evening Snack,Bangalore,37
ORD100138,531.81,30,Mexican,Dinner,Chennai,63
ORD100139,1170.37,60,Continental,Evening Snack,Chennai,18
ORD100140,1160.57,30,Fast Food,Breakfast,Bangalore,16
ORD100141,414.37,20,Indian,Dinner,Mumbai,44
ORD100142,672.11,20,Mexican,Dinner,Hyderabad,57
ORD100143,465.92,20,Indian,Breakfast,Mumbai,18
ORD100144,449.08,30,Mexican,Dinner,Mumbai,58
ORD100145,188.73,20,Mexican,Evening Snack,Delhi,23
ORD100146,790.04,20,Italian,Lunch,Mumbai,49
ORD100147,677.81,30,Mexican,Lunch,Chennai,25
ORD100148,204.05,20,Fast Food,Dinner,Delhi,61
ORD100149,442.58,0,Mexican,Breakfast,Chennai,18
ORD100150,1103.68,0,Fast Food,Dinner,Mumbai,16
ORD100151,401.54,20,Indian,Evening Snack,Mumbai,60
ORD100152,302.14,30,Chinese,Dinner,Delhi,60
ORD100153,663.93,20,Mexican,Lunch,Mumbai,37
ORD100154,1184.93,0,Mexican,Breakfast,Bangalore,17
ORD100155,404.16,20,Chinese,Lunch,Chennai,53
ORD100156,855.74,0,Mexican,Evening Snack,Mumbai,41
ORD100157,949.7,60,Continental,Lunch,Mumbai,56
ORD100158,399.52,20,Continental,Lunch,Mumbai,55
ORD100159,914.63,0,Indian,Dinner,Hyderabad,40
ORD100160,536.17,30,Fast Food,Lunch,Bangalore,16
ORD100161,813.92,20,Italian,Dinner,Chennai,26
ORD100162,815.21,30,Continental,Dinner,Hyderabad,31
ORD100163,712.56,0,Continental,Dinner,Chennai,46
ORD100164,244.8,60,Mexican,Evening Snack,Delhi,53
ORD100165,1027.07,60,Mexican,Lunch,Hyderabad,53
ORD100166,486.82,30,Continental,Lunch,Bangalore,58
ORD100167,345.84,30,Continental,Breakfast,Mumbai,50
ORD100168,192.81,20,Fast Food,Dinner,Delhi,27
ORD100169,770.44,60,Mexican,Lunch,Delhi,48
ORD100170,861.44,20,Chinese,Breakfast,Chennai,25
ORD100171,167.42,20,Continental,Dinner,Hyderabad,26
ORD100172,687.7,0,Italian,Dinner,Bangalore,52
ORD100173,387.82,20,Chinese,Dinner,Bangalore,27
ORD100174,827.43,30,Italian,Breakfast,Mumbai,16
ORD100175,333.08,20,Italian,Lunch,Bangalore,26
ORD100176,875.48,30,Indian,Breakfast,Mumbai,60
ORD100177,556.07,20,Mexican,Breakfast,Delhi,34
ORD100178,1133.57,45,Italian,Dinner,Bangalore,59
ORD100179,294.4,30,Continental,Lunch,Mumbai,60
ORD100180,508.12,30,Continental,Lunch,Chennai,19
ORD100181,269.15,30,Chinese,Dinner,Hyderabad,27
ORD100182,1120.93,45,Continental,Dinner,Bangalore,55
ORD100183,1071.21,0,Continental,Dinner,Bangalore,58
ORD100184,420.84,0,Fast Food,Dinner,Bangalore,19
ORD100185,842.98,30,Indian,Evening Snack,Mumbai,16
ORD100186,1008.08,30,Italian,Breakfast,Delhi,47
ORD100187,732.96,20,Mexican,Lunch,Hyderabad,40
ORD100188,706.13,20,Chinese,Dinner,Bangalore,28
ORD100189,403.94,20,Indian,Lunch,Delhi,64
ORD100190,247.76,20,Italian,Dinner,Delhi,63
ORD100191,1092.08,60,Italian,Dinner,Chennai,60
ORD100192,1095.44,20,Continental,Dinner,Bangalore,54
ORD100193,814.76,30,Continental,Dinner,Chennai,26
ORD100194,505.98,30,Chinese,Evening Snack,Chennai,40
ORD100195,516.67,0,Mexican,Breakfast,Chennai,52
ORD100196,912.25,0,Continental,Dinner,Delhi,15
ORD100197,1091.97,20,Mexican,Breakfast,Mumbai,44
ORD100198,1081.44,30,Continental,Dinner,Bangalore,58
ORD100199,968.87,20,Mexican,Dinner,Hyderabad,20
ORD100200,824.13,0,Continental,Lunch,Delhi,41
ORD100201,238.35,20,Fast Food,Lunch,Hyderabad,30
ORD100202,319.71,0,Continental,Dinner,Bangalore,63
ORD100203,1093.48,20,Fast Food,Lunch,Chennai,24
ORD100204,786.75,20,Continental,Breakfast,Hyderabad,59
ORD100205,159.66,0,Continental,Breakfast,Bangalore,56
ORD100206,256.55,30,Mexican,Breakfast,Chennai,55
ORD100207,846.68,20,Indian,Evening Snack,Hyderabad,54
ORD100208,155.31,30,Chinese,Evening Snack,Chennai,46
ORD100209,318.85,30,Indian,Evening Snack,Delhi,63
ORD100210,726.17,45,Mexican,Lunch,Delhi,49
ORD100211,876.49,0,Chinese,Evening Snack,Chennai,50
ORD100212,834.56,20,Continental,Evening Snack,Hyderabad,38
ORD100213,385.48,45,Indian,Dinner,Hyderabad,25
ORD100214,897.79,45,Chinese,Lunch,Delhi,50
ORD100215,399.11,0,Indian,Evening Snack,Hyderabad,28
ORD100216,491.67,0,Mexican,Dinner,Mumbai,34
ORD100217,933.82,45,Chinese,Lunch,Hyderabad,62
ORD100218,832.11,0,Continental,Lunch,Hyderabad,23
ORD100219,1041.68,45,Italian,Dinner,Hyderabad,48
ORD100220,840.49,60,Continental,Lunch,Hyderabad,17
ORD100221,746.72,20,Italian,Dinner,Hyderabad,37
ORD100222,248.36,45,Continental,Dinner,Bangalore,43
ORD100223,536.1,20,Mexican,Lunch,Hyderabad,54
ORD100224,428.46,30,Chinese,Dinner,Mumbai,21
ORD100225,406.19,20,Indian,Lunch,Bangalore,31
ORD100226,1171.66,0,Fast Food,Lunch,Bangalore,17
ORD100227,562.75,30,Continental,Dinner,Delhi,56
ORD100228,1086.65,0,Italian,Lunch,Mumbai,36
ORD100229,812.7,60,Chinese,Lunch,Delhi,35
ORD100230,984.55,20,Fast Food,Lunch,Delhi,34
ORD100231,677.77,0,Indian,Evening Snack,Mumbai,28
ORD100232,755.75,20,Italian,Evening Snack,Mumbai,59
ORD100233,667.14,45,Italian,Dinner,Hyderabad,36
ORD100234,355.01,20,Fast Food,Breakfast,Hyderabad,52
ORD100235,908.57,45,Chinese,Dinner,Delhi,44
ORD100236,444.81,0,Mexican,Dinner,Mumbai,28
ORD100237,175.53,20,Mexican,Evening Snack,Bangalore,53
ORD100238,827.75,45,Mexican,Lunch,Mumbai,40
ORD100239,335.97,0,Fast Food,Lunch,Delhi,43
ORD100240,1137.48,20,Chinese,Dinner,Delhi,41
ORD100241,1151.63,60,Italian,Dinner,Mumbai,30
ORD100242,1110.61,30,Chinese,Dinner,Delhi,40
ORD100243,538.67,30,Mexican,Dinner,Mumbai,35
ORD100244,166.23,45,Continental,Dinner,Hyderabad,64
ORD100245,1124.73,30,Chinese,Dinner,Hyderabad,62
ORD100246,599.59,45,Continental,Dinner,Chennai,59
ORD100247,1164.99,30,Mexican,Lunch,Chennai,34
ORD100248,1161.8,30,Chinese,Lunch,Mumbai,29
ORD100249,1045.66,0,Chinese,Breakfast,Delhi,50
ORD100250,459.17,60,Continental,Lunch,Mumbai,17
ORD100251,554.35,30,Indian,Lunch,Chennai,53
ORD100252,1043.69,20,Continental,Lunch,Chennai,37
ORD100253,482.77,30,Mexican,Dinner,Bangalore,63
ORD100254,327.97,20,Continental,Lunch,Delhi,29
ORD100255,734.64,30,Fast Food,Evening Snack,Bangalore,41
ORD100256,1132.96,60,Indian,Dinner,Chennai,58
ORD100257,880.83,0,Mexican,Lunch,Bangalore,61
ORD100258,748.56,60,Fast Food,Evening Snack,Hyderabad,62
ORD100259,252.04,0,Chinese,Breakfast,Hyderabad,62
ORD100260,795.76,20,Chinese,Dinner,Delhi,35
ORD100261,1189.56,20,Indian,Lunch,Hyderabad,34
ORD100262,297.09,20,Fast Food,Dinner,Chennai,33
ORD100263,694.25,30,Mexican,Evening Snack,Hyderabad,44
ORD100264,1071.24,45,Mexican,Breakfast,Chennai,48
ORD100265,927.81,20,Chinese,Lunch,Chennai,55
ORD100266,881.87,0,Continental,Lunch,Mumbai,40
ORD100267,887.61,30,Continental,Lunch,Delhi,17
ORD100268,527.47,30,Mexican,Evening Snack,Hyderabad,30
ORD100269,458.27,60,Indian,Dinner,Bangalore,56
ORD100270,999.83,0,Indian,Evening Snack,Chennai,22
ORD100271,1000.62,60,Fast Food,Dinner,Delhi,60
ORD100272,1060.43,20,Chinese,Lunch,Hyderabad,26
ORD100273,1108.9,20,Italian,Evening Snack,Mumbai,26
ORD100274,686.91,60,Fast Food,Breakfast,Chennai,31
ORD100275,676.59,20,Indian,Dinner,Chennai,27
ORD100276,988.21,30,Fast Food,Dinner,Bangalore,38
ORD100277,832.46,30,Italian,Lunch,Delhi,24
ORD100278,887.07,20,Continental,Lunch,Hyderabad,56
ORD100279,985.58,30,Chinese,Dinner,Mumbai,63
ORD100280,1084.51,30,Continental,Evening Snack,Delhi,48
ORD100281,504.89,0,Indian,Evening Snack,Bangalore,60
ORD100282,544.36,30,Continental,Dinner,Hyderabad,30
ORD100283,248.68,60,Mexican,Dinner,Delhi,29
ORD100284,757.19,20,Continental,Dinner,Bangalore,35
ORD100285,187.74,60,Italian,Lunch,Delhi,30
ORD100286,638.88,20,Italian,Lunch,Chennai,40
ORD100287,719.78,20,Continental,Lunch,Delhi,16
ORD100288,450.87,30,Indian,Breakfast,Bangalore,15
ORD100289,770.37,0,Italian,Dinner,Mumbai,22
ORD100290,182.03,60,Fast Food,Dinner,Hyderabad,16
ORD100291,189.22,45,Chinese,Dinner,Delhi,29
ORD100292,1013.73,45,Mexican,Lunch,Chennai,64
ORD100293,528.2,30,Indian,Dinner,Chennai,54
ORD100294,283.41,45,Chinese,Breakfast,Bangalore,64
ORD100295,698.36,30,Indian,Dinner,Chennai,38
ORD100296,958.49,30,Italian,Lunch,Delhi,45
ORD100297,376.61,60,Indian,Lunch,Bangalore,46
ORD100298,804.03,20,Chinese,Dinner,Chennai,50
ORD100299,239.61,30,Fast Food,Dinner,Hyderabad,33
ORD100300,204.27,0,Fast Food,Dinner,Chennai,23
ORD100301,707.92,60,Indian,Dinner,Delhi,55
ORD100302,717.67,20,Fast Food,Evening Snack,Mumbai,62
ORD100303,819.3,20,Italian,Lunch,Hyderabad,27
ORD100304,912.4,0,Continental,Lunch,Hyderabad,18
ORD100305,1174.64,20,Chinese,Evening Snack,Chennai,61
ORD100306,692.12,20,Fast Food,Dinner,Bangalore,59
ORD100307,489.1,30,Continental,Evening Snack,Chennai,40
ORD100308,984.95,20,Italian,Lunch,Delhi,30
ORD100309,434.37,30,Chinese,Evening Snack,Bangalore,62
ORD100310,610.92,0,Continental,Lunch,Chennai,49
ORD100311,232.38,20,Chinese,Evening Snack,Chennai,46
ORD100312,176.62,45,Mexican,Dinner,Chennai,18
ORD100313,1160.78,20,Continental,Lunch,Hyderabad,56
ORD100314,1027.78,0,Continental,Breakfast,Hyderabad,27
ORD100315,880.77,60,Mexican,Lunch,Chennai,39
ORD100316,579.4,0,Italian,Dinner,Bangalore,60
ORD100317,331.96,0,Mexican,Breakfast,Delhi,25
ORD100318,314.26,20,Chinese,Dinner,Delhi,45
ORD100319,412.76,0,Chinese,Dinner,Hyderabad,55
ORD100320,726.69,0,Chinese,Dinner,Hyderabad,57
ORD100321,900.33,45,Italian,Lunch,Bangalore,23
ORD100322,843.21,0,Mexican,Dinner,Chennai,38
ORD100323,443.93,0,Indian,Lunch,Hyderabad,55
ORD100324,1152.61,45,Continental,Lunch,Chennai,28
ORD100325,924.79,20,Mexican,Breakfast,Delhi,47
ORD100326,732.07,0,Chinese,Dinner,Delhi,60
ORD100327,792.31,30,Mexican,Evening Snack,Hyderabad,16
ORD100328,590.58,0,Mexican,Lunch,Bangalore,15
ORD100329,410.12,20,Italian,Evening Snack,Chennai,42
ORD100330,523.77,30,Continental,Dinner,Bangalore,49
